Price,Bedrooms,Is_premium_subarea,Is_estate,Price_log,Group_median,Group_std,Price_zscore_in_group,Locality_encoded,Area_encoded,Property_type_encoded
7000000,3,1,0,15.76142084987672,4750000.0,3181980.515339464,0.7071067811865475,14.686724613642852,13.75503204010579,15.16605166030285
1200000,4,0,1,13.997832948091215,1300000.0,245515.33104427057,-0.4073065399812784,13.810333495005228,14.84108294785864,13.890033554728157
900000,3,0,0,13.710151153416941,2000000.0,1404009.206178628,-0.783470646174702,14.679917924853939,14.84108294785864,13.959739575628085
530000,1,0,0,13.180634172318978,375000.0,2425268.81073992,0.06391044131421926,13.643104394471553,13.761359647409968,13.165972544764426
650000,2,0,0,13.384729180332174,600000.0,163816.95331828375,0.3052187150792253,13.939006158890274,13.761359647409968,13.961012994652792
350000,1,0,0,12.765691290604371,350000.0,197881.37662672115,0.0,13.545116365016396,13.761359647409968,13.165972544764426
3500000,5,1,0,15.068273812173887,5000000.0,15715303.809011258,-0.09544836156077938,14.681970503791204,14.830809391644584,14.951043360172223
500000,3,0,0,13.122365377402328,900000.0,345391.2078968643,-1.1581070706334893,13.810333495005228,14.84108294785864,13.959739575628085
300000,1,0,0,12.611541086966115,365000.0,1204599.6404862693,-0.053959836791716946,13.839534480707629,14.814728592296849,13.121227134887489
300000,0,0,0,12.611541086966115,200000.0,46184.46628584523,2.1652301746019815,13.439144679157337,13.73828354933841,12.689290634526047
400000,1,0,0,12.899222326086994,350000.0,176717.89236844712,0.2829368284664279,13.439144679157337,13.73828354933841,13.121227134887489
2200000,4,0,1,14.603968372873895,3500000.0,4441466.645353092,-0.2926961077958633,14.667835947994133,14.859081171067611,14.943664804017871
3500000,4,0,0,15.068273812173887,3500000.0,4441466.645353092,0.0,14.649561465492654,14.814728592296849,14.920318282492198
3500000,2,0,0,15.068273812173887,1000000.0,1799391.966140632,1.389358209352265,14.683883851661726,13.74365033424736,13.961348273931726
600000,3,0,0,13.304686600863562,1000000.0,624067.9867957743,-0.6409558068404807,13.62347496440506,13.75503204010579,13.959739575628085
1200000,3,0,0,13.997832948091215,1000000.0,624067.9867957743,0.32047790342024035,13.62347496440506,13.75503204010579,13.959739575628085
1000000,3,0,1,13.815511557963774,1000000.0,395058.6778605653,0.0,13.969481809395797,13.75503204010579,13.959739575628085
300000,2,0,0,12.611541086966115,650000.0,284013.1899463334,-1.2323371321808516,14.053404235564333,13.761359647409968,13.961012994652792
2500000,5,0,1,14.731801689838349,2600000.0,700417.4579382037,-0.14277199813717775,14.00180902898726,13.761359647409968,14.951043360172223
1800000,2,0,0,14.403297778421795,2000000.0,895390.6211295603,-0.2233661993775347,14.681970503791204,14.830809391644584,13.961012994652792
1000000,3,1,0,13.815511557963774,1000000.0,471780.70203466876,0.0,13.989004928991713,13.73828354933841,13.924388598525375
1100000,3,0,0,13.910821646859095,1000000.0,624067.9867957743,0.16023895171012018,13.62347496440506,13.75503204010579,13.959739575628085
1000000,2,0,0,13.815511557963774,700000.0,388728.5267957169,0.7717468086865023,13.545116365016396,13.761359647409968,13.961012994652792
250000,1,0,0,12.429220196836383,365000.0,1204599.6404862693,-0.09546740355457614,13.76931167987375,14.840092247661994,13.141945411452566
500000,2,0,0,13.122365377402328,700000.0,204008.4003956448,-0.9803517875348707,13.839534480707629,14.814728592296849,13.924388598525375
700000,3,0,0,13.45883704259595,1000000.0,624067.9867957743,-0.48071685513036055,13.545116365016396,13.761359647409968,13.961012994652792
800000,3,0,0,13.592368256649284,1000000.0,624067.9867957743,-0.32047790342024035,13.545116365016396,13.761359647409968,13.961012994652792
4000000,3,1,0,15.201805169084134,7500000.0,5588541.634109451,-0.626281457516194,15.763165347182431,14.859081171067611,13.961348273931726
1600000,3,1,0,14.285514812209815,1000000.0,471780.70203466876,1.2717773266527317,13.97231337965349,13.75503204010579,13.959739575628085
250000,2,0,1,12.429220196836383,250000.0,871957.4409978761,0.0,13.028184216592365,13.75503204010579,13.959739575628085
250000,2,0,0,12.429220196836383,250000.0,871957.4409978761,0.0,12.961368373975361,13.761359647409968,13.961012994652792
3200000,4,1,0,14.978661680269907,3500000.0,4441466.645353092,-0.06754525564519923,14.687621079503147,14.840092247661994,14.948043428904779
2800000,4,0,0,14.845130332288226,2800000.0,608789.7830942961,0.0,13.545116365016396,13.761359647409968,14.951043360172223
1500000,3,0,0,14.220976332738882,1000000.0,624067.9867957743,0.801194758550601,13.614369437229945,13.75053356952986,13.942958244723336
